E_MeV,sigma_nue_cm2,sigma_nux_cm2,sigma_mass_1_cm2,sigma_mass_2_cm2,sigma_mass_3_cm2,Ue1_abs2,Ue2_abs2,Ue3_abs2
11.179679144385027,1.0349649657371208e-43,1.7313578775952718e-44,7.570050614024179e-44,4.3179071850753206e-44,1.924407613462253e-44,0.6774768000000001,0.3001232,0.0224
11.279946524064172,1.0439530498347482e-43,1.7461413028345147e-44,7.635710796165215e-44,4.3552290870372924e-44,1.9408732208140054e-44,0.6774768000000001,0.3001232,0.0224
11.380213903743316,1.0529410419671797e-43,1.760925058940489e-44,7.701370461975582e-44,4.392550944556323e-44,1.95733913102087e-44,0.6774768000000001,0.3001232,0.0224
11.48048128342246,1.0619289445816065e-43,1.7757091369920294e-44,7.76702962515715e-44,4.429872758733287e-44,1.973805335909688e-44,0.6774768000000001,0.3001232,0.0224
11.580748663101605,1.0737691389663701e-43,1.7945478725167228e-44,7.853320124454204e-44,4.4785927229421283e-44,1.9948742873008153e-44,0.6774768000000001,0.3001232,0.0224
11.68101604278075,1.0827572261173038e-43,1.8093313163148966e-44,7.918980333266368e-44,4.515914647056745e-44,2.011339913479719e-44,0.6774768000000001,0.3001232,0.0224
11.781283422459893,1.0917452243573643e-43,1.8241150799461801e-44,7.984640042881591e-44,4.553236528172978e-44,2.0278058324114355e-44,0.6774768000000001,0.3001232,0.0224
11.881550802139039,1.1007331359731987e-43,1.8388991550643994e-44,8.050299266099543e-44,4.59055836731229e-44,2.0442720364489534e-44,0.6774768000000001,0.3001232,0.0224
11.981818181818182,1.1097209631737267e-43,1.8536835336110203e-44,8.115958015286077e-44,4.627880165464183e-44,2.0607385182090482e-44,0.6774768000000001,0.3001232,0.0224
12.082085561497326,1.1187087080934155e-43,1.8684682078028724e-44,8.181616302391461e-44,4.665201923587427e-44,2.0772052705610131e-44,0.6774768000000001,0.3001232,0.0224
12.182352941176472,1.1305506688040375e-43,1.8873003597124263e-44,8.267916644767795e-44,4.713922581230461e-44,2.0982681814669724e-44,0.6774768000000001,0.3001232,0.0224
12.282620320855616,1.1395385781888888e-43,1.9020844704032738e-44,8.333575864344353e-44,4.751244438570533e-44,2.1147344197805515e-44,0.6774768000000001,0.3001232,0.0224
12.38288770053476,1.148526405911368e-43,1.9168688746008122e-44,8.39923462534e-44,4.788566256241404e-44,2.1312009267339004e-44,0.6774768000000001,0.3001232,0.0224
12.483155080213905,1.1575141539704218e-43,1.9316535650066086e-44,8.464892938943228e-44,4.825888035134374e-44,2.147667695639835e-44,0.6774768000000001,0.3001232,0.0224
12.583422459893049,1.1665018243002993e-43,1.946438534561994e-44,8.530550815981536e-44,4.863209776114374e-44,2.1641347200310726e-44,0.6774768000000001,0.3001232,0.0224
12.683689839572192,1.1783451552460353e-43,1.9652655251133364e-44,8.616858776725107e-44,4.91193093383601e-44,2.1851928921259097e-44,0.6774768000000001,0.3001232,0.0224
12.783957219251338,1.187332974244709e-43,1.980049986437659e-44,8.68251749704371e-44,4.949252765306429e-44,2.2016594529722705e-44,0.6774768000000001,0.3001232,0.0224
12.884224598930482,1.1963207161842166e-43,1.9948347246074269e-44,8.748175784593419e-44,4.986574559262116e-44,2.218126267201485e-44,0.6774768000000001,0.3001232,0.0224
12.984491978609626,1.2053083828780944e-43,2.009619732995384e-44,8.813833649523079e-44,5.023896316507652e-44,2.2345933287409804e-44,0.6774768000000001,0.3001232,0.0224
13.084759358288771,1.21429597608343e-43,2.0244050051839129e-44,8.87949110166672e-44,5.061218037824925e-44,2.251060631710482e-44,0.6774768000000001,0.3001232,0.0224
13.185026737967915,1.2261405677240362e-43,2.0432272517270317e-44,8.965806073272842e-44,5.109939658963054e-44,2.27211444845853e-44,0.6774768000000001,0.3001232,0.0224
13.285294117647059,1.2351282958914626e-43,2.0580120635216911e-44,9.031464291265632e-44,5.147261463113884e-44,2.288581331578493e-44,0.6774768000000001,0.3001232,0.0224
13.385561497326204,1.2441159512675533e-43,2.0727971367302572e-44,9.09712210042606e-44,5.184583231758556e-44,2.3050484539514314e-44,0.6774768000000001,0.3001232,0.0224
13.485828877005348,1.253103535501755e-43,2.0875824653195366e-44,9.1627795099829e-44,5.221904965624951e-44,2.3215158100487725e-44,0.6774768000000001,0.3001232,0.0224
13.586096256684492,1.2620910501940644e-43,2.1023680434403685e-44,9.228436528889268e-44,5.259226665421338e-44,2.3379833945107745e-44,0.6774768000000001,0.3001232,0.0224
13.686363636363637,1.2739368055778346e-43,2.1211859148541968e-44,9.314757973504638e-44,5.307948717171203e-44,2.3590331948108977e-44,0.6774768000000001,0.3001232,0.0224
13.786631016042781,1.28292444327081e-43,2.1359710742266359e-44,9.380415690655912e-44,5.345270493048839e-44,2.3755003974566206e-44,0.6774768000000001,0.3001232,0.0224
13.886898395721925,1.2919120121290554e-43,2.1507564807198051e-44,9.446073021170028e-44,5.382592235291548e-44,2.39196782626859e-44,0.6774768000000001,0.3001232,0.0224
13.98716577540107,1.3008995136564408e-43,2.1655421288276416e-44,9.511729973459522e-44,5.419913944559224e-44,2.408435476200945e-44,0.6774768000000001,0.3001232,0.0224
14.087433155080214,1.3098869493133549e-43,2.1803280132062582e-44,9.577386555694663e-44,5.457235621494772e-44,2.4249033423566297e-44,0.6774768000000001,0.3001232,0.0224
